iter	Passed	Remaining
0	249	124381
1	350	87353
2	435	72169
3	525	65223
4	620	61385
5	702	57864
6	785	55313
7	877	53985
8	964	52600
9	1052	51551
10	1150	51161
11	1233	50174
12	1320	49457
13	1409	48933
14	1493	48284
15	1581	47825
16	1666	47343
17	1746	46779
18	1833	46415
19	1912	45911
20	1995	45505
21	2075	45084
22	2156	44719
23	2237	44373
24	2321	44105
25	2400	43758
26	2479	43435
27	2558	43132
28	2637	42839
29	2718	42593
30	2797	42330
31	2878	42094
32	2959	41882
33	3037	41634
34	3117	41418
35	3198	41220
36	3276	40995
37	3356	40809
38	3434	40594
39	3511	40382
40	3597	40276
41	3677	40097
42	3757	39934
43	3835	39749
44	3915	39589
45	3995	39438
46	4073	39262
47	4154	39122
48	4236	38988
49	4317	38853
50	4409	38822
51	4489	38682
52	4571	38559
53	4648	38393
54	4725	38231
55	4806	38106
56	4886	37976
57	4965	37842
58	5045	37710
59	5123	37572
60	5203	37450
61	5285	37337
62	5365	37214
63	5444	37092
64	5522	36960
65	5601	36837
66	5679	36703
67	5760	36596
68	5839	36475
69	5918	36356
70	6000	36253
71	6079	36139
72	6158	36022
73	6237	35907
74	6314	35780
75	6391	35659
76	6474	35566
77	6557	35477
78	6637	35373
79	6714	35251
80	6792	35138
81	6873	35035
82	6951	34926
83	7030	34817
84	7111	34722
85	7189	34612
86	7268	34505
87	7349	34408
88	7427	34299
89	7506	34196
90	7585	34092
91	7663	33983
92	7741	33880
93	7820	33778
94	7900	33680
95	7979	33581
96	8058	33479
97	8136	33376
98	8214	33273
99	8293	33175
100	8372	33077
101	8453	32983
102	8533	32891
103	8617	32813
104	8695	32712
105	8772	32608
106	8852	32514
107	8929	32412
108	9009	32317
109	9089	32224
110	9168	32132
111	9248	32040
112	9329	31950
113	9409	31861
114	9487	31761
115	9564	31662
116	9645	31574
117	9718	31463
118	9798	31371
119	9881	31292
120	9962	31204
121	10040	31109
122	10119	31015
123	10196	30917
124	10275	30827
125	10354	30733
126	10433	30641
127	10512	30553
128	10592	30463
129	10673	30377
130	10751	30285
131	10831	30196
132	10910	30105
133	10989	30016
134	11068	29925
135	11147	29835
136	11224	29742
137	11305	29657
138	11387	29574
139	11465	29482
140	11545	29395
141	11622	29302
142	11703	29217
143	11780	29123
144	11861	29040
145	11940	28952
146	12020	28864
147	12101	28783
148	12180	28694
149	12260	28607
150	12339	28520
151	12467	28544
152	12614	28610
153	12694	28522
154	12774	28432
155	12853	28343
156	12931	28252
157	13011	28164
158	13091	28076
159	13169	27985
160	13248	27895
161	13328	27808
162	13409	27724
163	13490	27638
164	13572	27556
165	13649	27463
166	13731	27380
167	13810	27291
168	13890	27205
169	13967	27114
170	14047	27027
171	14126	26938
172	14205	26850
173	14283	26760
174	14362	26673
175	14441	26585
176	14519	26495
177	14598	26409
178	14677	26321
179	14757	26235
180	14838	26151
181	14917	26064
182	14999	25982
183	15080	25899
184	15160	25813
185	15242	25732
186	15322	25647
187	15406	25568
188	15485	25480
189	15565	25396
190	15643	25307
191	15723	25222
192	15798	25129
193	15877	25043
194	15956	24958
195	16037	24875
196	16117	24789
197	16196	24704
198	16276	24619
199	16354	24531
200	16434	24447
201	16512	24360
202	16592	24275
203	16671	24189
204	16752	24107
205	16832	24022
206	16913	23939
207	16994	23857
208	17075	23775
209	17156	23692
210	17237	23609
211	17318	23527
212	17396	23440
213	17496	23383
214	17577	23299
215	17656	23215
216	17737	23132
217	17816	23047
218	17898	22966
219	17978	22882
220	18059	22799
221	18147	22725
222	18230	22645
223	18309	22560
224	18396	22484
225	18480	22405
226	18565	22327
227	18646	22245
228	18728	22163
229	18810	22082
230	18893	22002
231	18975	21920
232	19068	21850
233	19152	21771
234	19232	21687
235	19317	21609
236	19431	21563
